,Date,Open,High,Low,Close,Adj Close,Volume,Stock Ticker
50,2001-02-01,1.16,1.286667,1.0,1.028,0.533393,18876000,VEON
51,2001-03-01,1.027333,1.261333,0.866,0.914,0.474242,17995500,VEON
52,2001-04-01,0.914,1.06,0.833333,1.04,0.53962,27862500,VEON
53,2001-05-01,1.033333,1.2,0.966,1.151333,0.597386,25827000,VEON
54,2001-06-01,1.151333,1.26,1.05,1.094,0.567638,31342500,VEON
55,2001-07-01,1.094,1.096667,0.936667,0.983333,0.510217,22806000,VEON
56,2001-08-01,0.996667,1.316667,0.993333,1.167333,0.605688,36883500,VEON
57,2001-09-01,1.16,1.220667,1.006667,1.094667,0.567984,26184000,VEON
58,2001-10-01,1.098667,1.366667,1.056667,1.32,0.684902,63016500,VEON
59,2001-11-01,1.333333,1.88,1.314,1.706667,0.8855299999999999,150939000,VEON
60,2001-12-01,1.72,1.906667,1.487333,1.7366669999999997,0.9010959999999999,82770000,VEON
61,2002-01-01,1.7366669999999997,2.083333,1.7233330000000002,2.06,1.068862,84391500,VEON
62,2002-02-01,2.0,2.04,1.686667,1.9726669999999997,1.023548,63174000,VEON
63,2002-03-01,1.9833330000000002,2.316667,1.9666669999999997,2.1453330000000004,1.113138,68442000,VEON
64,2002-04-01,2.1366669999999996,2.183333,1.573333,1.58,0.819807,115119000,VEON
65,2002-05-01,1.586667,1.946667,1.484,1.912667,0.992416,124998000,VEON
66,2002-06-01,1.9666669999999997,1.9733330000000002,1.54,1.6973330000000002,0.8806870000000001,53427000,VEON
67,2002-07-01,1.698,1.82,1.374667,1.534,0.7959390000000001,56583000,VEON
68,2002-08-01,1.534,1.833333,1.424667,1.57,0.8146180000000001,61410000,VEON
69,2002-09-01,1.553333,1.7326669999999997,1.516667,1.579333,0.8194610000000001,54598500,VEON
70,2002-10-01,1.579333,1.91,1.576667,1.88,0.9754659999999999,57042000,VEON
71,2002-11-01,1.8733330000000001,2.413333,1.8466669999999998,2.3346669999999996,1.2113770000000001,99006000,VEON
72,2002-12-01,2.4,2.4266669999999997,2.038667,2.134,1.107258,82114500,VEON
73,2003-01-01,2.146667,2.532,2.0,2.124,1.102069,85339500,VEON
74,2003-02-01,2.132,2.532,2.058,2.4906669999999997,1.2923200000000001,62973000,VEON
75,2003-03-01,2.5266669999999998,2.6566669999999997,2.2566669999999998,2.3,1.193389,103509000,VEON
76,2003-04-01,2.316667,2.786667,2.316667,2.6573330000000004,1.3787969999999998,101134500,VEON
77,2003-05-01,2.67,3.086667,2.598667,3.0,1.5565950000000002,72625500,VEON
78,2003-06-01,3.0066669999999998,3.2,2.768,3.096,1.606406,68487000,VEON
79,2003-07-01,3.096,3.2726669999999998,2.603333,2.984667,1.5486389999999999,119056500,VEON
80,2003-08-01,2.99,3.693333,2.900667,3.594,1.864801,95430000,VEON
81,2003-09-01,3.666667,4.2293330000000005,3.5333330000000003,4.057333,2.105208,96235500,VEON
82,2003-10-01,4.074,4.683333,4.053333,4.34,2.2518740000000004,175803000,VEON
83,2003-11-01,4.353333,4.633333,3.8833330000000004,4.632,2.4033830000000003,129484500,VEON
84,2003-12-01,4.648667,4.91,4.1666669999999995,4.9,2.542439,95886000,VEON
85,2004-01-01,4.946667,5.342667,4.592667,5.026,2.607816,166911000,VEON
86,2004-02-01,4.9166669999999995,5.7786669999999996,4.633333,5.659333,2.93643,161578500,VEON
